Fecha,Producto,Ventas,Región,Prediccion
2020-11-01,Producto A,694.0,Región 2,568
2020-11-01,Producto A,795.0,Región 4,590
2020-11-01,Producto A,389.0,Región 2,826
2020-11-01,Producto B,447.0,Región 2,79
2020-11-01,Producto B,961.0,Región 2,408
2020-11-01,Producto B,810.0,Región 1,732
2020-11-01,Producto C,976.0,Región 3,153
2020-11-01,Producto C,692.0,Región 3,68
2020-11-01,Producto C,112.0,Región 1,533
2020-11-01,Producto C,193.0,Región 3,565
2020-11-01,Producto D,118.0,Región 4,879
2020-11-02,Producto A,445.0,Región 2,478
2020-11-02,Producto A,596.0,Región 4,90
2020-11-02,Producto A,852.0,Región 2,518
2020-11-02,Producto A,926.0,Región 1,287
2020-11-02,Producto A,397.0,Región 2,482
2020-11-02,Producto B,116.0,Región 1,359
2020-11-02,Producto B,275.0,Región 2,506
2020-11-02,Producto B,537.0,Región 4,529
2020-11-02,Producto C,411.0,Región 2,541
2020-11-02,Producto D,257.0,Región 2,637
2020-11-02,Producto D,696.0,Región 1,461
2020-11-02,Producto D,882.0,Región 3,604
2020-11-03,Producto A,366.0,Región 2,236
2020-11-03,Producto A,980.0,Región 1,78
2020-11-03,Producto A,350.0,Región 1,575
2020-11-03,Producto A,981.0,Región 1,347
2020-11-03,Producto B,502.0,Región 3,683
2020-11-03,Producto B,865.0,Región 4,193
2020-11-03,Producto C,219.0,Región 2,267
2020-11-03,Producto C,482.0,Región 1,869
2020-11-03,Producto C,750.0,Región 3,572
2020-11-03,Producto D,162.0,Región 1,836
2020-11-04,Producto A,251.0,Región 4,306
2020-11-04,Producto A,611.0,Región 4,175
2020-11-04,Producto A,462.0,Región 3,790
2020-11-04,Producto A,490.0,Región 1,245
2020-11-04,Producto A,185.0,Región 3,223
2020-11-04,Producto B,267.0,Región 2,541
2020-11-04,Producto C,140.0,Región 4,321
2020-11-04,Producto C,552.0,Región 4,240
2020-11-04,Producto C,326.0,Región 1,67
2020-11-04,Producto C,460.0,Región 4,646
2020-11-04,Producto C,664.0,Región 4,423
2020-11-04,Producto D,644.0,Región 4,134
2020-11-04,Producto D,101.0,Región 4,680
2020-11-04,Producto D,880.0,Región 1,93
2020-11-04,Producto D,696.0,Región 4,86
2020-11-04,Producto D,627.0,Región 1,558
2020-11-05,Producto A,734.0,Región 1,741
2020-11-05,Producto A,639.0,Región 3,773
2020-11-05,Producto A,229.0,Región 3,684
2020-11-05,Producto A,217.0,Región 2,480
2020-11-05,Producto B,604.0,Región 2,790
2020-11-05,Producto B,172.0,Región 1,659
2020-11-05,Producto B,159.0,Región 1,799
2020-11-05,Producto B,153.0,Región 2,58
2020-11-05,Producto C,599.0,Región 3,144
2020-11-05,Producto C,459.0,Región 2,168
2020-11-05,Producto C,294.0,Región 4,168
2020-11-05,Producto D,648.0,Región 2,640
2020-11-05,Producto D,707.0,Región 3,744
2020-11-05,Producto D,336.0,Región 4,474
2020-11-05,Producto D,986.0,Región 1,520
2020-11-06,Producto A,836.0,Región 4,656
2020-11-06,Producto B,279.0,Región 3,550
2020-11-06,Producto B,403.0,Región 1,777
2020-11-06,Producto B,680.0,Región 2,111
2020-11-06,Producto C,343.0,Región 3,234
2020-11-06,Producto C,114.0,Región 4,73
2020-11-06,Producto C,639.0,Región 4,140
2020-11-06,Producto D,569.0,Región 1,702
2020-11-06,Producto D,855.0,Región 2,806
2020-11-06,Producto D,432.0,Región 4,490
